Start: 2023-07-10 17:09:10, End: 2023-07-10 17:14:17, Duration: 0:05:06.833660, Max Elevation: 88.30 degrees
Start: 2023-07-11 06:09:41, End: 2023-07-11 06:14:40, Duration: 0:04:58.674099, Max Elevation: 61.55 degrees
Start: 2023-07-11 16:55:25, End: 2023-07-11 17:00:25, Duration: 0:05:00.316778, Max Elevation: 65.94 degrees
Start: 2023-07-12 05:56:01, End: 2023-07-12 06:00:35, Duration: 0:04:34.314384, Max Elevation: 43.31 degrees
Start: 2023-07-12 07:31:30, End: 2023-07-12 07:32:54, Duration: 0:01:24.239696, Max Elevation: 21.06 degrees
Start: 2023-07-12 16:41:48, End: 2023-07-12 16:46:27, Duration: 0:04:39.602467, Max Elevation: 46.82 degrees
Start: 2023-07-13 05:42:30, End: 2023-07-13 05:46:18, Duration: 0:03:48.369270, Max Elevation: 31.28 degrees
Start: 2023-07-13 07:16:49, End: 2023-07-13 07:20:07, Duration: 0:03:17.377566, Max Elevation: 27.55 degrees
Start: 2023-07-13 16:28:20, End: 2023-07-13 16:32:21, Duration: 0:04:01.977243, Max Elevation: 34.22 degrees
Start: 2023-07-13 18:03:09, End: 2023-07-13 18:05:57, Duration: 0:02:47.940791, Max Elevation: 24.80 degrees
Start: 2023-07-14 05:29:18, End: 2023-07-14 05:31:37, Duration: 0:02:19.553498, Max Elevation: 23.09 degrees
Start: 2023-07-14 07:02:36, End: 2023-07-14 07:06:49, Duration: 0:04:13.117316, Max Elevation: 36.82 degrees
Start: 2023-07-14 16:15:06, End: 2023-07-14 16:18:04, Duration: 0:02:58.104928, Max Elevation: 25.76 degrees
Start: 2023-07-14 17:48:36, End: 2023-07-14 17:52:38, Duration: 0:04:02.045961, Max Elevation: 33.74 degrees
Start: 2023-07-15 06:48:31, End: 2023-07-15 06:53:17, Duration: 0:04:46.030595, Max Elevation: 50.80 degrees
Start: 2023-07-15 17:34:21, End: 2023-07-15 17:39:03, Duration: 0:04:41.786482, Max Elevation: 47.08 degrees
Start: 2023-07-16 06:34:33, End: 2023-07-16 06:39:36, Duration: 0:05:03.184958, Max Elevation: 71.79 degrees
Start: 2023-07-16 17:20:17, End: 2023-07-16 17:25:19, Duration: 0:05:01.970641, Max Elevation: 67.19 degrees
Start: 2023-07-17 06:20:40, End: 2023-07-17 06:25:46, Duration: 0:05:06.426300, Max Elevation: 81.58 degrees
Start: 2023-07-17 17:06:22, End: 2023-07-17 17:11:28, Duration: 0:05:06.656796, Max Elevation: 86.47 degrees
Start: 2023-07-18 06:06:52, End: 2023-07-18 06:11:47, Duration: 0:04:55.261484, Max Elevation: 57.42 degrees
Start: 2023-07-18 16:52:35, End: 2023-07-18 16:57:32, Duration: 0:04:57.230816, Max Elevation: 61.58 degrees
Start: 2023-07-19 05:53:10, End: 2023-07-19 05:57:37, Duration: 0:04:27.425425, Max Elevation: 40.52 degrees
Start: 2023-07-19 07:28:20, End: 2023-07-19 07:30:19, Duration: 0:01:58.191392, Max Elevation: 22.20 degrees
Start: 2023-07-19 16:38:56, End: 2023-07-19 16:43:30, Duration: 0:04:33.502922, Max Elevation: 43.85 degrees
Start: 2023-07-20 05:39:38, End: 2023-07-20 05:43:14, Duration: 0:03:35.407643, Max Elevation: 29.38 degrees
Start: 2023-07-20 07:13:46, End: 2023-07-20 07:17:18, Duration: 0:03:31.360471, Max Elevation: 29.16 degrees
Start: 2023-07-20 16:25:27, End: 2023-07-20 16:29:19, Duration: 0:03:51.432299, Max Elevation: 32.22 degrees
Start: 2023-07-20 17:59:59, End: 2023-07-20 18:03:07, Duration: 0:03:07.517350, Max Elevation: 26.36 degrees
Start: 2023-07-21 05:26:33, End: 2023-07-21 05:28:20, Duration: 0:01:47.450594, Max Elevation: 21.73 degrees
Start: 2023-07-21 06:59:32, End: 2023-07-21 07:03:54, Duration: 0:04:21.593552, Max Elevation: 39.24 degrees
Start: 2023-07-21 16:12:15, End: 2023-07-21 16:14:54, Duration: 0:02:38.981395, Max Elevation: 24.35 degrees
Start: 2023-07-21 17:45:28, End: 2023-07-21 17:49:40, Duration: 0:04:12.249366, Max Elevation: 36.06 degrees
Start: 2023-07-22 06:45:26, End: 2023-07-22 06:50:17, Duration: 0:04:51.076997, Max Elevation: 54.57 degrees
Start: 2023-07-22 17:31:13, End: 2023-07-22 17:36:00, Duration: 0:04:47.359093, Max Elevation: 50.69 degrees
Start: 2023-07-23 06:31:26, End: 2023-07-23 06:36:31, Duration: 0:05:05.321498, Max Elevation: 77.20 degrees
Start: 2023-07-23 17:17:07, End: 2023-07-23 17:22:11, Duration: 0:05:03.941180, Max Elevation: 72.50 degrees
Start: 2023-07-24 06:17:30, End: 2023-07-24 06:22:36, Duration: 0:05:05.325401, Max Elevation: 75.82 degrees
Start: 2023-07-24 17:03:11, End: 2023-07-24 17:08:17, Duration: 0:05:05.553121, Max Elevation: 80.56 degrees
Start: 2023-07-25 06:03:40, End: 2023-07-25 06:08:31, Duration: 0:04:50.922260, Max Elevation: 53.07 degrees
Start: 2023-07-25 16:49:23, End: 2023-07-25 16:54:16, Duration: 0:04:53.288251, Max Elevation: 56.97 degrees
Start: 2023-07-26 05:49:57, End: 2023-07-26 05:54:16, Duration: 0:04:18.291337, Max Elevation: 37.62 degrees
Start: 2023-07-26 07:24:51, End: 2023-07-26 07:27:18, Duration: 0:02:26.537688, Max Elevation: 23.57 degrees
Start: 2023-07-26 16:35:43, End: 2023-07-26 16:40:09, Duration: 0:04:25.725937, Max Elevation: 40.77 degrees
Start: 2023-07-26 18:11:34, End: 2023-07-26 18:12:53, Duration: 0:01:19.702364, Max Elevation: 20.92 degrees
Start: 2023-07-27 05:36:26, End: 2023-07-27 05:39:45, Duration: 0:03:18.456578, Max Elevation: 27.40 degrees
Start: 2023-07-27 07:10:21, End: 2023-07-27 07:14:06, Duration: 0:03:45.345549, Max Elevation: 31.14 degrees
Start: 2023-07-27 16:22:14, End: 2023-07-27 16:25:52, Duration: 0:03:38.229514, Max Elevation: 30.15 degrees
Start: 2023-07-27 17:56:27, End: 2023-07-27 17:59:54, Duration: 0:03:26.350399, Max Elevation: 28.28 degrees
Start: 2023-07-28 06:56:06, End: 2023-07-28 07:00:36, Duration: 0:04:30.124103, Max Elevation: 42.25 degrees
Start: 2023-07-28 16:09:06, End: 2023-07-28 16:11:18, Duration: 0:02:12.822856, Max Elevation: 22.86 degrees
Start: 2023-07-28 17:41:57, End: 2023-07-28 17:46:20, Duration: 0:04:22.438488, Max Elevation: 38.95 degrees
