Start: 2008-04-11 07:43:20, End: 2008-04-11 07:45:41, Duration: 0:02:21.369943, Max Elevation: 23.55 degrees
Start: 2008-04-11 20:45:46, End: 2008-04-11 20:49:56, Duration: 0:04:10.312060, Max Elevation: 38.15 degrees
Start: 2008-04-12 08:54:36, End: 2008-04-12 08:58:32, Duration: 0:03:55.824591, Max Elevation: 34.31 degrees
Start: 2008-04-12 20:25:51, End: 2008-04-12 20:26:53, Duration: 0:01:02.054864, Max Elevation: 20.59 degrees
Start: 2008-04-12 21:59:05, End: 2008-04-12 22:00:41, Duration: 0:01:36.018993, Max Elevation: 21.50 degrees
Start: 2008-04-13 08:32:43, End: 2008-04-13 08:37:34, Duration: 0:04:51.384257, Max Elevation: 69.04 degrees
Start: 2008-04-13 21:36:32, End: 2008-04-13 21:40:43, Duration: 0:04:11.387251, Max Elevation: 38.91 degrees
Start: 2008-04-14 08:11:25, End: 2008-04-14 08:16:10, Duration: 0:04:44.774315, Max Elevation: 59.03 degrees
Start: 2008-04-14 21:14:53, End: 2008-04-14 21:19:47, Duration: 0:04:53.999291, Max Elevation: 77.98 degrees
Start: 2008-04-15 07:50:45, End: 2008-04-15 07:54:18, Duration: 0:03:33.698499, Max Elevation: 30.51 degrees
Start: 2008-04-15 20:53:40, End: 2008-04-15 20:58:19, Duration: 0:04:38.650751, Max Elevation: 52.03 degrees
Start: 2008-04-16 09:03:18, End: 2008-04-16 09:06:14, Duration: 0:02:56.196148, Max Elevation: 25.95 degrees
Start: 2008-04-16 20:33:04, End: 2008-04-16 20:36:11, Duration: 0:03:07.059658, Max Elevation: 26.97 degrees
Start: 2008-04-17 08:41:06, End: 2008-04-17 08:45:42, Duration: 0:04:35.784141, Max Elevation: 49.70 degrees
Start: 2008-04-17 21:45:10, End: 2008-04-17 21:48:36, Duration: 0:03:25.785284, Max Elevation: 29.35 degrees
Start: 2008-04-18 08:19:40, End: 2008-04-18 08:24:35, Duration: 0:04:54.777561, Max Elevation: 81.61 degrees
Start: 2008-04-18 21:23:21, End: 2008-04-18 21:28:03, Duration: 0:04:42.223615, Max Elevation: 56.19 degrees
Start: 2008-04-19 07:58:47, End: 2008-04-19 08:03:03, Duration: 0:04:16.798607, Max Elevation: 40.79 degrees
